Commercial software;Software;Software type
ENVI/IDL;ENVI;Image processing and analysis
ArcGIS;IDL;Programming language 
IDL-ENVI, Google earthengine. This does not prevent me from sharing code or sharing repeatable methods, by the way.;ArcGIS;Geographic Information Systems
MATLAB;IDL;Programming language 
atlas TI;ENVI;Image processing and analysis
I am (still) coding in IDL, which is not open.;Google earth engine;Geospatial processing service
"ENVI; we did however convince DANS that ENVI is OK";MATLAB;Programming language 
Erdas, ArcMap, CityEngine;AtlasTI;Software for qualitative coding
path dependencies, like learned ArcGIS since 20 years;IDL;Programming language 
eCognition, ArcGIS, ERDAS;ENVI;Image processing and analysis
Matlab;Erdas;Remote sensing analysis
GIS,MATLAB;ArcMap;Geographic Information Systems
IDL is much faster than python, even i tried to go for python it makes me cry;CityEngine;Geographic Information Systems
eCognition, ERDAS, ArcGIS;ArcGIS;Geographic Information Systems
ENVI, ERDAS, IDL;eCognition;Image analysis
HoloLens 2 and Visual Studio;ArcGIS;Geographic Information Systems
ArcGIS Erdas;Erdas;Remote sensing analysis
eCognition, ERDAS, Pix4D;MATLAB;Programming language 
pix4d, matlab;MATLAB;Programming language 
Pix4D, Matlab;IDL;Programming language 
SPSS, ArcGIS;eCognition;Image analysis
Gis esri, Nortorn 360, Office Timeline Pro, Maptionnaire ;Erdas;Remote sensing analysis
;ArcGIS;Geographic Information Systems
;ENVI;Image processing and analysis
;Erdas;Remote sensing analysis
;IDL;Programming language 
;HoloLens 2;Augmented reality
;Visual Studio;Programming environment
;ArcGIS;Geographic Information Systems
;Erdas;Remote sensing analysis
;eCognition;Image analysis
;Erdas;Remote sensing analysis
;Pix4D;photogrammetry
;Pix4D;photogrammetry
;MATLAB;Programming language 
;Pix4D;photogrammetry
;MATLAB;Programming language 
;SPSS;Statistics
;ArcGIS;Geographic Information Systems
;GIS Esri;Geographic Information Systems
;Office Timeline Pro;Project management
;Maptionnaire;Survey tool
